Year,Activity Type,Activity,Value
2021,Governmental,Cultural and Recreational Services," 704,490,000.00 ",
2021,Governmental,Community Development," 909,542,000.00 ",
2021,Governmental,Interest on Long-term Debt," 99,628,000.00 ",
2021,Business-Type,Airports," 1,558,137,000.00 ",
2021,Business-Type,Harbor," 453,024,000.00 ",
2021,Business-Type,Power," 3,886,405,000.00 ",
2021,Business-Type,Water," 1,293,737,000.00 ",
2021,Business-Type,Sewer," 627,866,000.00 ",
2021,Business-Type,Convention Center," 36,847,000.00 ",
2022,Governmental,General Government," 1,726,188,000.00 ",
2022,Governmental,Protection of Persons and Property," 2,624,309,000.00 ",
2022,Governmental,Public Works," 513,475,000.00 ",
2022,Governmental,Health and Sanitation," 552,619,000.00 ",
2022,Governmental,Transportation," 563,804,000.00 ",
2022,Governmental,Cultural and Recreational Services," 713,767,000.00 ",
2022,Governmental,Community Development," 987,179,000.00 ",
2022,Governmental,Interest on Long-term Debt," 98,054,000.00 ",
2022,Business-Type,Airports," 1,742,407,000.00 ",
2022,Business-Type,Harbor," 462,493,000.00 ",
2022,Business-Type,Power," 4,370,903,000.00 ",
2022,Business-Type,Water," 1,487,767,000.00 ",
2022,Business-Type,Sewer," 669,062,000.00 ",
2022,Business-Type,Convention Center," 43,337,000.00 ",
2023,Governmental,General Government," 2,331,602,000.00 ",
2023,Governmental,Protection of Persons and Property," 3,632,760,000.00 ",
2023,Governmental,Public Works," 642,030,000.00 ",
2023,Governmental,Health and Sanitation," 735,974,000.00 ",
2023,Governmental,Transportation," 641,789,000.00 ",
2023,Governmental,Cultural and Recreational Services," 822,487,000.00 ",
2023,Governmental,Community Development," 988,699,000.00 ",
2023,Governmental,Interest on Long-term Debt," 154,114,000.00 ",
2023,Business-Type,Airports," 2,050,387,000.00 ",
2023,Business-Type,Harbor," 539,951,000.00 ",
2023,Business-Type,Power," 4,698,985,000.00 ",
2023,Business-Type,Water," 1,476,345,000.00 ",
2023,Business-Type,Sewer," 793,809,000.00 ",
2023,Business-Type,Convention Center," 55,916,000.00 ",
