Year,Activity Type,Activity,Revenue Type, Revenue 
2022,Governmental,Sales Tax,General Revenues," 693,438,000.00 "
2022,Governmental,Other Taxes,General Revenues," 842,715,000.00 "
2022,Governmental,Unrestricted Grants and Contributions,General Revenues," 35,874,000.00 "
2022,Governmental,Unrestricted Investment Earnings,General Revenues," (110,102,000.00)"
2022,Governmental,Other Revenues,General Revenues," 71,551,000.00 "
2023,Business-Type,Charges for Services,Program Revenues," 9,854,989,000.00 "
2023,Business-Type,Operating Grants and Contributions,Program Revenues," 119,074,000.00 "
2023,Business-Type,Capital Grants and Contributions,Program Revenues," 616,983,000.00 "
2023,Business-Type,Unrestricted Investment Earnings,General Revenues," 154,710,000.00 "
2023,Business-Type,Other Revenues,General Revenues," 663,168,000.00 "
2023,Governmental,Charges for Services,Program Revenues," 2,320,295,000.00 "
2023,Governmental,Operating Grants and Contributions,Program Revenues," 1,857,329,000.00 "
2023,Governmental,Capital Grants and Contributions,Program Revenues," 136,257,000.00 "
2023,Governmental,Property Taxes,General Revenues," 2,819,290,000.00 "
2023,Governmental,Utility Users' Taxes,General Revenues," 698,003,000.00 "
2023,Governmental,Business Taxes,General Revenues," 626,620,000.00 "
2023,Governmental,Sales Tax,General Revenues," 704,815,000.00 "
2023,Governmental,Other Taxes,General Revenues," 935,405,000.00 "
2023,Governmental,Unrestricted Grants and Contributions,General Revenues," 49,341,000.00 "
2023,Governmental,Unrestricted Investment Earnings,General Revenues," 36,818,000.00 "
2023,Governmental,Other Revenues,General Revenues," 40,446,000.00 "
